ids,date,domain
0,Monday,data.microsoft.com
0,Sunday,events.data.microsoft.com
0,Sunday,google.com
0,Wednesday,data.microsoft.com
1,Monday,google.com
1,Monday,ftl.netflix.com
1,Thursday,events.data.microsoft.com
1,Tuesday,windowsupdate.com
2,Friday,netflix.com
2,Wednesday,google.com
2,Friday,windowsupdate.com
2,Wednesday,prod.ftl.netflix.com
2,Thursday,windowsupdate.com
2,Sunday,microsoftonline.com
2,Saturday,events.data.microsoft.com
2,Thursday,www.google.com
2,Sunday,ftl.netflix.com
2,Thursday,prod.ftl.netflix.com
2,Thursday,windowsupdate.com
2,Wednesday,microsoftonline.com
3,Tuesday,events.data.microsoft.com
3,Monday,ftl.netflix.com
4,Tuesday,data.microsoft.com
4,Wednesday,data.microsoft.com
4,Tuesday,settings-win.data.microsoft.com
4,Friday,api-global.netflix.com
4,Tuesday,netflix.com
4,Wednesday,google.com
4,Friday,ftl.netflix.com
4,Wednesday,api-global.netflix.com
4,Wednesday,ctldl.windowsupdate.com
5,Monday,data.microsoft.com
5,Wednesday,ftl.netflix.com
5,Saturday,netflix.com
5,Wednesday,prod.ftl.netflix.com
6,Tuesday,ctldl.windowsupdate.com
6,Tuesday,windowsupdate.com
6,Monday,www.google.com
6,Thursday,netflix.com
6,Wednesday,events.data.microsoft.com
6,Thursday,api-global.netflix.com
6,Saturday,www.google.com
6,Sunday,microsoft.com
6,Wednesday,ctldl.windowsupdate.com
6,Monday,api-global.netflix.com
6,Friday,windowsupdate.com
6,Friday,netflix.com
6,Monday,www.google.com
6,Friday,microsoft.com
6,Tuesday,microsoft.com
6,Saturday,data.microsoft.com
6,Wednesday,www.google.com
6,Monday,netflix.com
6,Monday,windowsupdate.com
6,Saturday,prod.ftl.netflix.com
6,Thursday,www.google.com
6,Friday,windowsupdate.com
6,Sunday,google.com
6,Tuesday,netflix.com
7,Monday,www.google.com
7,Wednesday,ftl.netflix.com
7,Monday,netflix.com
8,Friday,netflix.com
8,Wednesday,safebrowsing.googleapis.com
8,Thursday,safebrowsing.googleapis.com
8,Wednesday,google.com
8,Saturday,netflix.com
8,Tuesday,api-global.netflix.com
8,Tuesday,microsoft.com
8,Wednesday,prod.ftl.netflix.com
8,Thursday,prod.ftl.netflix.com
8,Sunday,ichnaea.netflix.com
8,Tuesday,events.data.microsoft.com
8,Thursday,data.microsoft.com
8,Thursday,microsoftonline.com
8,Friday,netflix.com
8,Sunday,google.com
8,Monday,live.com
9,Sunday,www.google.com
9,Tuesday,microsoft.com
9,Tuesday,safebrowsing.googleapis.com
9,Tuesday,www.google.com
9,Thursday,api-global.netflix.com
9,Tuesday,windowsupdate.com
9,Sunday,api-global.netflix.com
9,Wednesday,netflix.com
9,Tuesday,partner.netflix.net
9,Thursday,prod.partner.netflix.net
9,Thursday,google.com
9,Tuesday,ftl.netflix.com
9,Thursday,prod.ftl.netflix.com
9,Friday,ichnaea.netflix.com
9,Friday,prod.partner.netflix.net
9,Thursday,microsoft.com
9,Monday,microsoftonline.com
9,Monday,windowsupdate.com
9,Saturday,google.com
9,Wednesday,settings-win.data.microsoft.com
9,Saturday,windowsupdate.com
9,Tuesday,events.data.microsoft.com
10,Monday,prod.ftl.netflix.com
10,Thursday,ctldl.windowsupdate.com
10,Tuesday,www.google.com
10,Tuesday,api-global.netflix.com
10,Tuesday,api-global.netflix.com
10,Friday,data.microsoft.com
10,Monday,www.google.com
10,Friday,netflix.com
10,Saturday,events.data.microsoft.com
10,Wednesday,partner.netflix.net
11,Friday,ftl.netflix.com
11,Wednesday,google.com
11,Thursday,api-global.netflix.com
11,Wednesday,microsoft.com
11,Friday,windowsupdate.com
12,Friday,safebrowsing.googleapis.com
13,Tuesday,microsoft.com
13,Monday,prod.ftl.netflix.com
13,Saturday,data.microsoft.com
13,Sunday,microsoft.com
13,Wednesday,prod.ftl.netflix.com
13,Wednesday,ftl.netflix.com
13,Friday,google.com
13,Thursday,prod.ftl.netflix.com
13,Friday,safebrowsing.googleapis.com
13,Wednesday,windowsupdate.com
13,Friday,microsoft.com
14,Friday,microsoft.com
14,Wednesday,microsoft.com
14,Tuesday,api-global.netflix.com
14,Thursday,microsoft.com
14,Wednesday,preapp.prod.partner.netflix.net
14,Friday,data.microsoft.com
14,Friday,events.data.microsoft.com
14,Tuesday,settings-win.data.microsoft.com
16,Wednesday,ftl.netflix.com
16,Monday,microsoft.com
16,Monday,www.google.com
16,Monday,data.microsoft.com
16,Wednesday,microsoftonline.com
17,Tuesday,windowsupdate.com
17,Friday,api-global.netflix.com
17,Friday,netflix.net
18,Sunday,prod.ftl.netflix.com
18,Monday,data.microsoft.com
18,Tuesday,ftl.netflix.com
18,Sunday,ichnaea.netflix.com
18,Tuesday,microsoft.com
20,Tuesday,netflix.com
20,Monday,partner.netflix.net
20,Thursday,netflix.com
20,Sunday,data.microsoft.com
20,Tuesday,netflix.com
20,Friday,windowsupdate.com
20,Monday,data.microsoft.com
20,Friday,netflix.com
20,Tuesday,preapp.prod.partner.netflix.net
20,Sunday,data.microsoft.com
20,Monday,microsoft.com
20,Saturday,google.com
20,Wednesday,windowsupdate.com
20,Saturday,prod.ftl.netflix.com
20,Saturday,microsoftonline.com
20,Wednesday,api-global.netflix.com
20,Thursday,data.microsoft.com
20,Sunday,data.microsoft.com
20,Saturday,api-global.netflix.com
20,Monday,netflix.com
20,Wednesday,www.google.com
20,Friday,microsoft.com
20,Thursday,api-global.netflix.com
20,Wednesday,api-global.netflix.com
20,Wednesday,windowsupdate.com
20,Friday,windowsupdate.com
21,Wednesday,ftl.netflix.com
21,Monday,netflix.net
21,Wednesday,netflix.com
21,Friday,microsoft.com
23,Tuesday,ftl.netflix.com
24,Sunday,api-global.netflix.com
24,Monday,google.com
24,Saturday,prod.ftl.netflix.com
24,Monday,google.com
25,Wednesday,safebrowsing.googleapis.com
25,Sunday,microsoft.com
25,Monday,prod.ftl.netflix.com
25,Friday,events.data.microsoft.com
25,Saturday,events.data.microsoft.com
26,Tuesday,partner.netflix.net
26,Monday,safebrowsing.googleapis.com
26,Monday,prod.ftl.netflix.com
26,Friday,prod.ftl.netflix.com
26,Tuesday,google.com
26,Friday,data.microsoft.com
26,Thursday,google.com
26,Thursday,api-global.netflix.com
26,Tuesday,google.com
26,Thursday,prod.partner.netflix.net
26,Tuesday,safebrowsing.googleapis.com
26,Monday,prod.ftl.netflix.com
26,Tuesday,netflix.net
26,Monday,safebrowsing.googleapis.com
26,Monday,ctldl.windowsupdate.com
26,Friday,netflix.com
26,Saturday,safebrowsing.googleapis.com
26,Sunday,api-global.netflix.com
26,Wednesday,partner.netflix.net
27,Saturday,google.com
27,Saturday,api-global.netflix.com
27,Sunday,partner.netflix.net
27,Wednesday,ftl.netflix.com
27,Wednesday,partner.netflix.net
28,Saturday,google.com
28,Sunday,google.com
28,Thursday,api-global.netflix.com
28,Friday,events.data.microsoft.com
28,Saturday,windowsupdate.com
29,Wednesday,api-global.netflix.com
29,Sunday,safebrowsing.googleapis.com
29,Saturday,partner.netflix.net
29,Saturday,microsoftonline.com
29,Friday,api-global.netflix.com
29,Monday,microsoft.com
29,Tuesday,api-global.netflix.com
29,Thursday,netflix.com
29,Monday,partner.netflix.net
29,Tuesday,prod.ftl.netflix.com
29,Wednesday,microsoft.com
29,Thursday,partner.netflix.net
29,Monday,preapp.prod.partner.netflix.net
29,Wednesday,netflix.com
29,Thursday,live.com
29,Wednesday,api-global.netflix.com
29,Tuesday,www.google.com
29,Saturday,windowsupdate.com
29,Monday,events.data.microsoft.com
29,Sunday,api-global.netflix.com
29,Thursday,api-global.netflix.com
29,Thursday,preapp.prod.partner.netflix.net
29,Thursday,google.com
29,Monday,live.com
29,Friday,ftl.netflix.com
29,Friday,ctldl.windowsupdate.com
29,Thursday,preapp.prod.partner.netflix.net
29,Wednesday,api-global.netflix.com
29,Thursday,netflix.net
29,Friday,prod.ftl.netflix.com
29,Thursday,windowsupdate.com
29,Friday,data.microsoft.com
29,Friday,netflix.com
29,Friday,microsoft.com
29,Thursday,microsoft.com
29,Friday,api-global.netflix.com
29,Wednesday,preapp.prod.partner.netflix.net
29,Monday,prod.ftl.netflix.com
29,Monday,netflix.com
29,Sunday,prod.partner.netflix.net
30,Wednesday,settings-win.data.microsoft.com
30,Tuesday,data.microsoft.com
30,Wednesday,windowsupdate.com
31,Monday,microsoft.com
32,Thursday,prod.ftl.netflix.com
32,Saturday,events.data.microsoft.com
32,Wednesday,windowsupdate.com
32,Thursday,safebrowsing.googleapis.com
32,Monday,live.com
33,Wednesday,ichnaea.netflix.com
34,Friday,www.google.com
34,Thursday,api-global.netflix.com
34,Friday,windowsupdate.com
34,Wednesday,ftl.netflix.com
35,Thursday,prod.ftl.netflix.com
36,Tuesday,prod.ftl.netflix.com
36,Tuesday,api-global.netflix.com
36,Sunday,events.data.microsoft.com
